KEY,TAG
01,Russia 5 - 0 Saudi Arabia
02,Egypt 0 - 1 Uruguay
03,Portugal 3 – 3 Spain
04,Morocco 0 – 1 IR Iran
05,France 2 - 1 Australia 
06,Peru 0 - 1 Denmark
07,Argentina 1 - 1 Iceland
08,Croatia 2 - 0 Nigeria
09,Brazil 1 - 1 Switzerland
10,Costa Rica 0 - 1 Serbia
11,Germany 0 - 1 Mexico
12,Sweden 1 - 0 Korean Republic
13,Belgium 3 - 0 Panama
14,Tunisia 1 - 2 England
15,Poland 1 - 2 Senegal
16,Colombia 1 - 2 Japan
17,Russia 3 - 1 Egypt
18,Uruguay 1 - 0 Saudi Arabia
19,Portugal 1 - 0 Morocco
20,IR Iran 0 – 1 Spain
21,France 1 - 0 Peru
22,Denmark 1 - 1 Australia
23,Argentina 0 - 3 Croatia
24,Nigeria 2 - 0 Iceland
25,Brazil 2 - 0 Costa Rica
26,Serbia 1 - 2 Switzerland
27,Germany 2 - 1 Sweden
28,Korean Republic 1 - 2 Mexico
29,Belgium 5 - 2 Tunisia
30,England 6 - 1 Panama
31,Poland 0 - 3 Colombia
32,Japan 2 - 2 Senegal
33,Uruguay 3 - 0 Russia
34,Saudi Arabia 2 - 1 Egypt
35,IR Iran 1 - 1 Portugal
36,Spain 2 - 2 Morocco
37,Denmark 0 - 0 France
38,Australia 0 - 2 Peru
39,Nigeria 1 – 2 Argentina
40,Iceland 1 - 2 Croatia
41,Serbia 0 - 2 Brazil
42,Switzerland 2 - 2 Costa Rica
43,Korean Republic 2 - 0 Germany
44,Mexico 0 - 3 Sweden
45,England 0 - 1 Belgium
46,Panama 1 - 2 Tunisia
47,Japan 0 - 1 Poland
48,Senegal 0 - 1 Colombia
49,Uruguay 2 - 1 Portugal
50,France 4 - 3 Argentina
51,Spain 1 - 1 Russia (Final 4-5)
52,Croatia 1 - 1 Denmark (Final 4-3)
53,Brazil 2 - 0 Mexico
54,Belgium 3 - 2 Japan
55,Sweden 1 - 0 Switzerland
56,Colombia 1 - 1 England (Final 4-5)
57,Uruguay 0 - 2 France
58,Brazil 1 - 2 Belgium
59,Russia 2 - 2 Croatia (Final 5-6)
60,Sweden 0 - 2 England
61,France 1 - 0 Belgium
62,Croatia 2 - 1 England
63,Belgium 2 - 0 England
64,France 4 - 2 Croatia
